2022-10-18,27.665.207/0001-31,BRASILPREV SEGUROS E PREVIDENCIA S/A,Debênture,BPSE11,CDI,CDI+,100.00,2026-06-07
2022-10-18,00.383.281/0001-09,BNDES PARTICIPAÇÕES S.A. - BNDESPAR,Debênture,BNDP47,IPCA,IPCA+,100.00,2035-05-15
2022-10-18,02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Debênture,RIGE18,IPCA,IPCA+,100.00,2024-02-15
2022-10-18,02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Debênture,AESL17,IPCA,IPCA+,100.00,2025-08-15
2022-10-18,02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Debênture,RIGE10,CDI,%CDI,107.00,2024-05-28
2022-10-18,02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Debênture,RIGEA1,IPCA,IPCA+,100.00,2031-05-15
2022-10-18,02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Debênture,RIGEA2,CDI,CDI+,100.00,2028-09-27
2022-10-18,02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Debênture,BRAESLDBS0A0,IPCA,IPCA+,100.00,2024-09-15
2022-10-18,02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Debênture,BRAESLDBS0B8,IPCA,IPCA+,100.00,2027-09-15
2022-10-18,02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Debênture,BRAESLDBS0H5,CDI,%CDI,107.00,2024-05-28
2022-10-18,02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Debênture,RIGEA3,IPCA,IPCA+,100.00,2029-05-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,ELEK17,CDI,%CDI,109.00,2023-05-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,ELEK27,CDI,%CDI,112.00,2023-05-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,ELEK37,IPCA,IPCA+,100.00,2025-05-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,EKTR19,CDI,CDI+,100.00,2026-05-10
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,EKTR29,CDI,CDI+,100.00,2028-05-10
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,EKTRA0,CDI,CDI+,100.00,2026-10-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,EKTRB0,CDI,CDI+,100.00,2028-10-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,EKTRC0,IPCA,IPCA+,100.00,2031-10-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,BREKTRDBS0M6,IPCA,IPCA+,100.00,2035-10-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,EKTRA1,CDI,CDI+,100.00,2027-07-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,EKTRB1,CDI,CDI+,100.00,2029-07-15
2022-10-18,02.328.280/0001-97,ELEKTRO REDES S.A.,Debênture,EKTRC1,IPCA,IPCA+,100.00,2029-07-15
2022-10-18,02.387.241/0001-60,RUMO S.A.,Debênture,RUMOA2,IPCA,IPCA+,100.00,2029-02-15
2022-10-18,02.387.241/0001-60,RUMO S.A.,Debênture,RUMOA3,IPCA,IPCA+,100.00,2029-10-15
2022-10-18,02.387.241/0001-60,RUMO S.A.,Debênture,RUMOB3,IPCA,IPCA+,100.00,2029-10-15
2022-10-18,02.387.241/0001-60,RUMO S.A.,Debênture,RUMOA4,IPCA,IPCA+,100.00,2030-04-15
2022-10-18,02.387.241/0001-60,RUMO S.A.,Debênture,RUMOA5,IPCA,IPCA+,100.00,2030-12-15
2022-10-18,02.387.241/0001-60,RUMO S.A.,Debênture,RUMOB5,IPCA,IPCA+,100.00,2035-12-15
2022-10-18,02.387.241/0001-60,RUMO S.A.,Debênture,RUMOA6,IPCA,IPCA+,100.00,2031-06-15
2022-10-18,02.387.241/0001-60,RUMO S.A.,Debênture,RUMOB6,IPCA,IPCA+,100.00,2036-06-15
